,Ticker,EBIT/EV,FCF/EV,Sales/EV,E/P,E/EV,Debt/Equity,Passes Graham test,Enterprise Value (M),Market cap (M),Net income (M),Operating income (M),Dividend Yield (%),Shareholder Yield (%),Buyback Yield (%),overperformer
99,AVT,0.16528970124655942,-0.04567783714220036,4.140265317607797,0.2059044756434873,0.11791646546616287,0.6443936621356517,False,5871.775,3362.622,692.379,970.544,2.928964022035195,8.412243992701185,5.48327997066599,1.0
100,AXTA,0.04868160491376402,0.016438093908735536,0.5618630223081025,0.03495953546166314,0.022040159502545335,2.929396057488416,False,8693.222,5480.622,191.6,423.2,0,3.6510454310432117,3.6510454310432117,0.0
101,AXS,0.0504455490322545,0.14362659606750058,1.0983142914901858,0.049209238640045616,0.046287072142981715,0.34454806727320825,False,4819.553,4533.356,223.083,243.125,3.961546319802241,4.733314510251211,0.7717681904489702,0.0
102,AXON,0.011842404493898099,0.022763607501530482,0.15111247457397226,0.0178657685158468,0.018685506684264018,0.01324683488276336,False,7874.499,8235.806,147.139,93.253,0,0.0008985156010117393,0.0008985156010117393,1.0
103,AZEK,0.04342798585391349,-0.02234730583730482,0.45483979596667856,0.02996657051291493,0.025240245658772954,0.40907048599356294,False,2980.359,2510.297,75.225,129.431,0,3.2630398456017122,3.2630398456017122,1.0
104,AZTA,-0.014176565061919316,-0.32072154836685557,0.32781307658352643,0.6633327463316073,1.2586527236981297,0.014636143457813049,True,1694.557,3215.368,2132.859,-24.023,0.23306817754990208,0.23306817754990208,0,0.0
105,BKR,0.07619148977340892,0.04498926062810813,0.8528609299715552,-0.02861643125961817,-0.024228087488792998,0.4632143105728405,False,24805.92,21001.92,-601.0,1890.0,3.537771784674925,7.480268470692203,3.9424966860172783,1.0
106,BALL,0.053596294019392254,-0.05705815581208452,0.6401941765787174,0.047410120615369124,0.02998889914392454,2.668295487208968,False,23975.538,15165.538,719.0,1285.0,1.6748498798753488,5.7498783277610395,4.075028447885691,0.0
107,BAC,0.09675411868010513,-0.01976697048303223,0.29664514736271697,0.11359322459411042,0.08600366104898233,1.0765868716700553,False,320079.397,242338.397,27528.0,30969.0,3.5388531463204407,5.902077489717964,2.363224343397524,0.0
108,OZK,0.15392698802572258,0.15682065241331686,0.2664601112535919,0.12109540528555109,0.12035053975831796,0.20369478594641083,False,4687.482,4658.649,564.141,721.53,3.624570055162985,11.256439142152834,7.631869086989849,0.0
109,BBWI,0.14635452398646773,0.08901656509405526,0.5741286538495439,0.1643475262214341,0.09713732342194828,-2.2778820878708226,False,13727.782,8113.782,1333.48,2009.123,1.4789650498374247,25.684693032176607,24.205727982339184,0.0
110,BAX,0.02047944475629386,0.01253747365977944,0.3561632319929449,-0.08962055130879477,-0.057337731981660485,3.0507678410117434,False,42432.791,27147.791,-2433.0,869.0,2.1106689642391863,2.2285422746329977,0.11787331039381145,0.0
111,BDX,0.03165310724093302,0.021229962836342955,0.2413309630854166,0.028175315407727743,0.02275186981075549,0.634955140113039,False,78191.376,63140.376,1779.0,2475.0,1.7136420051243069,2.5055283291189037,0.7918863239945966,0.0
112,BSY,0.016920044897295174,0.02074557189298969,0.08914404150197004,0.016525044156120158,0.014176008317590794,3.50916476194687,False,12329.282,10576.674,174.78,208.612,0.326123325367349,1.005079696745736,0.6789563713783869,1.0
113,WRB,0.09109829515837174,0.13327822006223866,0.5942315219858094,0.08045579917906895,0.07316030921316873,0.44791182442792116,False,18877.203,17165.475,1381.062,1719.681,1.370145606824573,1.918572030454906,0.5484264236303331,0.0
114,BRK-B,-0.04532341703288585,0.03225528370733896,0.34714452626018893,-0.038627289458764306,-0.03382506061202977,0.2557934259930176,False,674618.156,590748.156,-22819.0,-30576.0,0,1.3295005539643932,1.3295005539643932,1.0
